date,name,year,letterboxd,rating,tv,director
2017-03-25,Paterson,2016,https://letterboxd.com/film/paterson/,4.5,,im Jarmusch
2017-03-13,Night on Earth,1991,https://letterboxd.com/film/night-on-earth/,4,,
2017-03-04,Seven Psychopaths,2012,https://letterboxd.com/film/seven-psychopaths/,3,,
2017-03-04,Arrival,2016,https://letterboxd.com/film/arrival-2016/,3.5,,
2017-03-02,All Ladies Do It,1992,https://letterboxd.com/film/all-ladies-do-it/,2,,
2017-03-02,Your Name.,2016,https://letterboxd.com/film/your-name/,3.5,,
2017-02-28,Zootopia,2016,https://letterboxd.com/film/zootopia/,3,,
2017-02-28,Manchester by the Sea,2016,https://letterboxd.com/film/manchester-by-the-sea/,3.5,,
2017-02-28,Suspiria,1977,https://letterboxd.com/film/suspiria/,3.5,,
2017-02-04,The Edge of Seventeen,2016,https://letterboxd.com/film/the-edge-of-seventeen/,3,,
2017-01-31,The Darjeeling Limited,2007,https://letterboxd.com/film/the-darjeeling-limited/,3.5,,
2017-01-12,Embrace of the Serpent,2015,https://letterboxd.com/film/embrace-of-the-serpent/,3.5,,
2017-01-10,"Crazy, Stupid, Love.",2011,https://letterboxd.com/film/crazy-stupid-love/,2.5,,
2017-01-10,The Nice Guys,2016,https://letterboxd.com/film/the-nice-guys/,3,,
2017-01-09,Ouija: Origin of Evil,2016,https://letterboxd.com/film/ouija-origin-of-evil/,2.5,,
2017-01-09,Death at a Funeral,2010,https://letterboxd.com/film/death-at-a-funeral-2010/,2,,
2017-01-08,The Babadook,2014,https://letterboxd.com/film/the-babadook/,3,,
2017-01-07,John Wick,2014,https://letterboxd.com/film/john-wick/,3.5,,
2017-01-06,Zodiac,2007,https://letterboxd.com/film/zodiac/,3.5,,
2017-01-05,Howl's Moving Castle,2004,https://letterboxd.com/film/howls-moving-castle/,2.5,,
2016-11-20,The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/,4,,
2016-11-15,Clash of the Titans,2010,https://letterboxd.com/film/clash-of-the-titans-2010/,2,,
2016-11-15,Hatchet for the Honeymoon,1970,https://letterboxd.com/film/hatchet-for-the-honeymoon/,2,,
2016-11-07,Shaun of the Dead,2004,https://letterboxd.com/film/shaun-of-the-dead/,3.5,,
2016-10-31,Finding Dory,2016,https://letterboxd.com/film/finding-dory/,3,,
2016-10-31,Sing Street,2016,https://letterboxd.com/film/sing-street/,3.5,,
2016-10-22,Gilda,1946,https://letterboxd.com/film/gilda/,3,,
2016-10-22,The Witch,2015,https://letterboxd.com/film/the-witch-2015/,4,,
2016-09-27,Contempt,1963,https://letterboxd.com/film/contempt/,4,,
2016-09-27,In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/,4.5,,Wong Kar-wai
2016-09-01,Badlands,1973,https://letterboxd.com/film/badlands/,3.5,,
2016-07-18,Fargo,1996,https://letterboxd.com/film/fargo/,3.5,,
2016-06-27,Deep Red,1975,https://letterboxd.com/film/deep-red/,3,,
2016-06-11,Breathless,1960,https://letterboxd.com/film/breathless/,4,,
2016-06-11,Deadpool,2016,https://letterboxd.com/film/deadpool/,3,,
2016-05-23,Dressed to Kill,1980,https://letterboxd.com/film/dressed-to-kill-1980/,3,,
2016-04-25,The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/,3.5,,
2016-04-24,Star Wars: The Force Awakens,2015,https://letterboxd.com/film/star-wars-the-force-awakens/,3,,
2016-03-17,A Serious Man,2009,https://letterboxd.com/film/a-serious-man/,3,,
2016-03-17,Life Itself,2014,https://letterboxd.com/film/life-itself/,3.5,,
2016-03-15,The Beast,1975,https://letterboxd.com/film/the-beast/,2,,
2016-03-11,Liberal Arts,2012,https://letterboxd.com/film/liberal-arts/,2.5,,
2016-03-11,Finding Forrester,2000,https://letterboxd.com/film/finding-forrester/,3,,
2016-02-25,Transformers,2007,https://letterboxd.com/film/transformers/,2.5,,
2016-02-25,Absolutely Anything,2015,https://letterboxd.com/film/absolutely-anything/,2,,
2016-02-17,Midnight in Paris,2011,https://letterboxd.com/film/midnight-in-paris/,3.5,,
2016-02-15,After You,2003,https://letterboxd.com/film/after-you/,3,,
2016-02-15,Spotlight,2015,https://letterboxd.com/film/spotlight/,4,,
2016-02-05,Steve Jobs,2015,https://letterboxd.com/film/steve-jobs/,3.5,,
2016-01-30,American Ultra,2015,https://letterboxd.com/film/american-ultra/,2.5,,
2016-01-21,White Heat,1949,https://letterboxd.com/film/white-heat/,3.5,,
2016-01-21,The Big Sleep,1946,https://letterboxd.com/film/the-big-sleep/,3.5,,
2016-01-20,Laura,1944,https://letterboxd.com/film/laura/,4,,
2016-01-18,The Killing,1956,https://letterboxd.com/film/the-killing/,3.5,,
2016-01-18,In a Lonely Place,1950,https://letterboxd.com/film/in-a-lonely-place/,3.5,,
2016-01-02,The Martian,2015,https://letterboxd.com/film/the-martian/,3,,
2015-12-10,Slow West,2015,https://letterboxd.com/film/slow-west/,3.5,,
2015-12-05,Ant-Man,2015,https://letterboxd.com/film/ant-man/,3,,
2015-12-02,The End of the Tour,2015,https://letterboxd.com/film/the-end-of-the-tour/,3,,
2015-12-02,Tomorrowland,2015,https://letterboxd.com/film/tomorrowland/,3,,
2015-10-15,Dope,2015,https://letterboxd.com/film/dope-2015/,2.5,,
2015-09-27,Man Up,2015,https://letterboxd.com/film/man-up/,2,,
2015-09-20,Avengers: Age of Ultron,2015,https://letterboxd.com/film/avengers-age-of-ultron/,3,,
2015-09-20,Me and Earl and the Dying Girl,2015,https://letterboxd.com/film/me-and-earl-and-the-dying-girl/,3,,
2015-09-04,Rudderless,2014,https://letterboxd.com/film/rudderless/,2.5,,
2015-08-11,Wet Hot American Summer,2001,https://letterboxd.com/film/wet-hot-american-summer/,2.5,,
2015-08-10,It Follows,2014,https://letterboxd.com/film/it-follows/,3.5,,
2015-08-06,Trainwreck,2015,https://letterboxd.com/film/trainwreck/,2,,
2015-08-02,(500) Days of Summer,2009,https://letterboxd.com/film/500-days-of-summer/,3,,
2015-08-02,The Social Network,2010,https://letterboxd.com/film/the-social-network/,3.5,,
2015-07-30,Hot Pursuit,2015,https://letterboxd.com/film/hot-pursuit-2015/,1,,
2015-07-28,Notorious,1946,https://letterboxd.com/film/notorious/,3.5,,
2015-07-27,The Maltese Falcon,1941,https://letterboxd.com/film/the-maltese-falcon-1941/,4.5,,John Huston
2015-07-26,Out of the Past,1947,https://letterboxd.com/film/out-of-the-past/,4,,
2015-07-24,The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/,3.5,,
2015-07-22,Kingsman: The Secret Service,2014,https://letterboxd.com/film/kingsman-the-secret-service/,3,,
2015-07-22,The Road Within,2014,https://letterboxd.com/film/the-road-within/,2,,
2015-07-09,Frequencies,2013,https://letterboxd.com/film/frequencies/,2.5,,
2015-07-01,Hello Ladies: The Movie,2014,https://letterboxd.com/film/hello-ladies-the-movie/,1.5,,
2015-06-28,Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/,3.5,,
2015-06-23,While We're Young,2014,https://letterboxd.com/film/while-were-young/,2.5,,
2015-05-31,Kung Fury,2015,https://letterboxd.com/film/kung-fury/,3.5,,
2015-05-31,"O Brother, Where Art Thou?",2000,https://letterboxd.com/film/o-brother-where-art-thou/,3.5,,
2015-05-21,Strangers on a Train,1951,https://letterboxd.com/film/strangers-on-a-train/,3.5,,
2015-05-20,Touch of Evil,1958,https://letterboxd.com/film/touch-of-evil/,4,,
2015-05-20,Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/,4,,
2015-05-17,Ex Machina,2014,https://letterboxd.com/film/ex-machina-2014/,4,,
2015-05-14,Cinema Paradiso,1988,https://letterboxd.com/film/cinema-paradiso/,4,,
2015-05-14,Project Almanac,2015,https://letterboxd.com/film/project-almanac/,2.5,,
2015-05-13,Just Before I Go,2014,https://letterboxd.com/film/just-before-i-go/,2,,
2015-05-11,Blade Runner,1982,https://letterboxd.com/film/blade-runner/,4.5,,Ridley Scott
2015-05-10,Hot Tub Time Machine 2,2015,https://letterboxd.com/film/hot-tub-time-machine-2/,1.5,,
2015-05-09,The Cobbler,2014,https://letterboxd.com/film/the-cobbler-2014/,1.5,,
2015-05-07,The Royal Tenenbaums,2001,https://letterboxd.com/film/the-royal-tenenbaums/,4,,
2015-05-01,Interstellar,2014,https://letterboxd.com/film/interstellar/,3,,
2015-04-21,Almost Famous,2000,https://letterboxd.com/film/almost-famous/,3.5,,
2015-04-07,Sweet Smell of Success,1957,https://letterboxd.com/film/sweet-smell-of-success/,3.5,,
2015-04-04,Memento,2000,https://letterboxd.com/film/memento/,4.5,,Christopher Nolan
2015-04-04,Once Upon a Time in the West,1968,https://letterboxd.com/film/once-upon-a-time-in-the-west/,4.5,,Sergio Leone
2015-04-04,The Departed,2006,https://letterboxd.com/film/the-departed/,4,,
2015-04-04,Le Samouraï,1967,https://letterboxd.com/film/le-samourai/,5,,Jean-Pierre Melville
2015-03-07,Jodorowsky's Dune,2013,https://letterboxd.com/film/jodorowskys-dune/,3.5,,
2015-03-07,Citizenfour,2014,https://letterboxd.com/film/citizenfour/,3,,
2015-03-06,Stranger Than Fiction,2006,https://letterboxd.com/film/stranger-than-fiction-2006/,3.5,,
2015-03-05,"Love, Rosie",2014,https://letterboxd.com/film/love-rosie/,1.5,,
2015-03-05,It's Kind of a Funny Story,2010,https://letterboxd.com/film/its-kind-of-a-funny-story/,2.5,,
2015-03-05,Wristcutters: A Love Story,2006,https://letterboxd.com/film/wristcutters-a-love-story/,3,,
2015-03-02,Wonder Boys,2000,https://letterboxd.com/film/wonder-boys/,4,,
2015-02-25,Hot Fuzz,2007,https://letterboxd.com/film/hot-fuzz/,3,,
2015-02-20,The Third Man,1949,https://letterboxd.com/film/the-third-man/,5,,Carol Reed
2015-02-20,The Night of the Hunter,1955,https://letterboxd.com/film/the-night-of-the-hunter/,4.5,,Charles Laughton
2015-02-18,Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/,4.5,,Billy Wilder
2015-02-17,Airplane!,1980,https://letterboxd.com/film/airplane/,3,,
2015-02-17,The Rules of the Game,1939,https://letterboxd.com/film/the-rules-of-the-game/,3,,
2015-02-15,That Awkward Moment,2014,https://letterboxd.com/film/that-awkward-moment/,2,,
2015-02-12,Two Night Stand,2014,https://letterboxd.com/film/two-night-stand/,2,,
2015-02-12,Rushmore,1998,https://letterboxd.com/film/rushmore/,3,,
2015-02-09,Dumb and Dumber To,2014,https://letterboxd.com/film/dumb-and-dumber-to/,2,,
2015-02-09,Nightcrawler,2014,https://letterboxd.com/film/nightcrawler/,3.5,,
2015-01-28,Heima,2007,https://letterboxd.com/film/heima/,3,,
2015-01-17,Birdman or (The Unexpected Virtue of Ignorance),2014,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/,3.5,,
2015-01-15,Obvious Child,2014,https://letterboxd.com/film/obvious-child/,2,,
2015-01-15,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/,3,,
2015-01-12,The Sessions,2012,https://letterboxd.com/film/the-sessions/,2.5,,
2015-01-12,The Skeleton Twins,2014,https://letterboxd.com/film/the-skeleton-twins/,2.5,,
2015-01-10,Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/,3,,
2015-01-10,The Guest,2014,https://letterboxd.com/film/the-guest-2014/,2.5,,
2015-01-10,Calvary,2014,https://letterboxd.com/film/calvary/,3,,
2015-01-08,Planet Terror,2007,https://letterboxd.com/film/planet-terror/,3,,
2015-01-07,If I Stay,2014,https://letterboxd.com/film/if-i-stay/,1.5,,
2015-01-07,This Is Where I Leave You,2014,https://letterboxd.com/film/this-is-where-i-leave-you/,2.5,,
2015-01-07,Whiplash,2014,https://letterboxd.com/film/whiplash-2014/,3.5,,
2015-01-04,City of God,2002,https://letterboxd.com/film/city-of-god/,3.5,,
2015-01-04,Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/,3.5,,
2015-01-04,Raiders of the Lost Ark,1981,https://letterboxd.com/film/raiders-of-the-lost-ark/,3.5,,
2014-12-27,The Interview,2014,https://letterboxd.com/film/the-interview-2014/,2,,
2014-12-22,Léon: The Professional,1994,https://letterboxd.com/film/leon-the-professional/,4,,
2014-12-09,Chungking Express,1994,https://letterboxd.com/film/chungking-express/,4,,
2014-12-05,Captain America: The Winter Soldier,2014,https://letterboxd.com/film/captain-america-the-winter-soldier/,3,,
2014-12-05,The Maze Runner,2014,https://letterboxd.com/film/the-maze-runner/,1.5,,
2014-11-28,20.000 Days on Earth,2014,https://letterboxd.com/film/20000-days-on-earth/,3,,
2014-11-27,Captain America: The First Avenger,2011,https://letterboxd.com/film/captain-america-the-first-avenger/,3,,
2014-11-27,Lucy,2014,https://letterboxd.com/film/lucy-2014/,2.5,,
2014-11-20,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/,4.5,,Billy Wilder
2014-11-19,The Goddess of 1967,2000,https://letterboxd.com/film/the-goddess-of-1967/,3,,
